# R-Type Level 1 - Dynamic Component Test
# Format: EntityType,X,Y,Variant
# EntityType: 0=PROJECTILE, 1=PLAYER, 2=ENEMY, 3=POWERUP, 4=BOSS, 5=WALL_BLOCK, 6=DESTRUCTIBLE, 7=GOAL

# Wave 1: Basic enemies
2,1300,200,0
2,1300,300,0
2,1300,400,0

# Powerups scattered throughout
3,900,150,0
3,900,450,1
3,700,300,2

# Some wall blocks for obstacles
5,500,200,0
5,500,232,0
5,500,264,0
5,500,400,0
5,500,432,0
5,500,464,0

# Destructible blocks  
6,800,250,0
6,800,350,0

# Boss at the end
4,1500,360,0

# Goal
7,50,360,0
